"Inicio del informe","Fin del informe","Nombre de la campaña","Entrega de la campaña","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Configuración de atribución",Resultados,"Indicador de resultado",Alcance,Impresiones,"Coste por resultados","Importe gastado (PEN)",Fin
2025-11-24,2026-01-30,"Campaña ""Plan de gobierno""",active,84.75,"Toda la campaña","7 días después del clic o 1 día después de la visualización",6877,actions:post_engagement,8417,9280,0.00261306,17.97,2026-02-04
2025-11-24,2026-01-30,"Campaña ""comunidad básquet""",active,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",8940,actions:post_engagement,15714,17454,0.00438926,39.24,2026-02-04
2025-11-24,2026-01-30,"Campaña ""Quién es Guillermo""",active,423.74,"Toda la campaña","7 días después del clic o 1 día después de la visualización",31970,actions:post_engagement,42034,44249,0.00276853,88.51,2026-02-04
2025-11-24,2026-01-30,"Campaña ""DM únete a mi canal""",active,84.75,Diario,-,18,actions:onsite_conversion.messaging_conversation_started_7d,7376,8992,6.85111111,123.32,2026-01-31
2025-11-24,2026-01-30,"Campaña ""Guillermo Challenge""",active,423.73,"Toda la campaña","7 días después del clic o 1 día después de la visualización",20400,actions:post_engagement,30284,34057,0.00384069,78.35,2026-02-04
2025-11-24,2026-01-30,"Campaña de Tráfico - ""Landing somista""",archived,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",18,actions:link_click,466,484,0.09277778,1.67,2025-12-26
2025-11-24,2026-01-30,"Campaña ""CP - Animalista""",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",84,actions:offsite_conversion.fb_pixel_lead,13090,20706,1.96547619,165.1,2025-12-22
2025-11-24,2026-01-30,"Campaña ""CP - básquet""",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",362,actions:offsite_conversion.fb_pixel_lead,36412,85019,1.16889503,423.14,2025-12-23
2025-11-24,2026-01-30,"Campaña ""CP - Somista""",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",20,actions:offsite_conversion.fb_pixel_lead,8359,14217,8.464,169.28,2025-12-23
2025-11-24,2026-01-30,"Campaña de seguidores - 22/12",completed,847.46,"Toda la campaña","7 días después del clic o 1 día después de la visualización",1951,actions:like,128906,226236,0.31569452,615.92,2025-12-29
2025-11-24,2026-01-30,"Campaña ""CP - Somista"" - 31 DIC",inactive,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",19,actions:offsite_conversion.fb_pixel_lead,7351,9442,4.30526316,81.8,2026-01-02
2025-11-24,2026-01-30,"Campaña ""CP - básquet"" -  31 DIC",completed,423.73,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",347,actions:offsite_conversion.fb_pixel_lead,61368,119013,1.22043228,423.49,2026-01-09
2025-11-24,2026-01-30,"Campaña ""CP - Animalista"" -  31 DIC",completed,169.5,"Toda la campaña","7 días después de hacer clic, 1 día después de la visualización o 1 día después de la visualización activa",136,actions:offsite_conversion.fb_pixel_lead,31689,44927,1.24595588,169.45,2026-01-02
2025-11-24,2026-01-30,"EVENTO ""Volvamos a la FIBA""",completed,169.5,"Toda la campaña","7 días después del clic o 1 día después de la visualización",112,actions:rsvp,17033,25193,0.49946429,55.94,2025-12-29
